Location,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,38.068000000000005,38.266999999999996,38.964,40.148,41.76,43.724,45.933,48.24100000000001,50.497,52.531000000000006,54.211000000000006,55.438,56.225,56.695,57.032,57.36,57.715,58.055,58.386,58.726000000000006,59.063,59.44,59.84,60.243,60.528,60.657,60.586000000000006,60.36600000000001,60.103,59.98,60.096000000000004,60.567,61.345,62.201,62.836000000000006,63.026,62.644,61.833,61.07899999999999,61.032,62.148999999999994,64.622,68.235,72.50399999999999,76.7,80.324,83.2,85.45100000000001,87.277,89.005,90.853,92.898,94.992,97.01700000000001,98.73700000000001,100.031,100.83200000000001,101.22,101.353,101.45299999999999,101.669,102.053,102.57700000000001,103.18700000000001,103.795,104.34100000000001
Australia,8177.342,8412.604,8620.97,8816.902,9011.19,9210.908000000001,9419.268,9635.828000000001,9856.949,10076.741,10289.707,10493.555,10691.688999999998,10894.27,11115.211000000001,11363.313,11643.451000000001,11949.357,12265.087,12568.3,12842.907,13084.157,13296.872,13486.438,13662.048,13831.206,13994.623,14152.065,14309.298,14473.242,14649.114,14838.493999999999,15041.065,15257.358,15487.214,15729.643,15986.163999999999,16254.935,16527.43,16792.293999999998,17041.431,17271.874,17485.948,17687.479,17882.737,18076.743000000002,18271.685,18467.588,18665.045,18864.112,19065.837,19268.533,19475.191000000003,19696.971999999998,19948.429,20238.903000000002,20573.606,20946.664,21342.493,21739.04,22120.064,22479.799,22821.849,23150.729,23474.667999999998,23799.556
Austria,6936.439,6931.338000000001,6931.196,6935.142,6942.619000000001,6953.406,6967.625,6985.724,7008.424,7036.55,7070.766,7111.142,7156.8330000000005,7205.994000000001,7256.090999999999,7305.158,7352.24,7397.170999999999,7439.579000000001,7479.346,7516.2390000000005,7550.34,7581.116999999999,7607.065,7626.29,7637.689,7640.749,7636.576,7627.759,7617.884,7609.7519999999995,7604.513000000001,7602.181,7603.102,7607.293000000001,7614.868,7625.393,7639.352,7658.84,7686.571999999999,7723.9490000000005,7772.701,7830.933000000001,7892.085999999999,7947.209,7990.121,8017.863,8032.876,8041.05,8051.113,8069.276,8097.7480000000005,8134.411999999999,8175.852,8216.805,8253.65,8284.735,8311.783000000001,8338.453000000001,8370.038,8409.949,8459.864,8517.548,8577.782,8633.22,8678.657
Azerbaijan,2927.921,2987.2670000000003,3060.011,3142.813,3233.1659999999997,3329.387,3430.66,3537.027,3649.191,3768.3309999999997,3895.3959999999997,4030.32,4171.425,4315.128,4456.689,4592.61,4721.525,4843.87,4960.235,5071.93,5180.025,5284.531999999999,5385.267,5483.084,5579.076999999999,5674.137,5768.724,5863.134,5957.929,6053.645,6150.738,6249.32,6349.558000000001,6452.076,6557.585,6666.455,6778.633000000001,6893.5,7010.036,7126.891,7242.77,7357.956,7471.933000000001,7581.7609999999995,7683.709,7775.4259999999995,7855.553000000001,7925.669,7989.904,8054.125,8122.741,8197.279,8277.015,8361.359,8448.882,8538.606,8630.195,8724.304,8821.908000000001,8924.407,9032.457,9146.379,9264.917,9385.293,9503.771,9617.484
Bahamas,79.085,79.985,81.426,83.37100000000001,85.773,88.617,91.897,95.603,99.76899999999999,104.405,109.52799999999999,115.10799999999999,121.083,127.333,133.69799999999998,140.054,146.366,152.609,158.627,164.248,169.354,173.863,177.83900000000003,181.488,185.09900000000002,188.882,192.90200000000002,197.111,201.513,206.032,210.66099999999997,215.396,220.275,225.187,230.015,234.687,239.13099999999997,243.393,247.579,251.84900000000002,256.336,261.116,266.134,271.165,275.895,280.15,283.79,286.97,290.06,293.572,297.89,303.135,309.157,315.746,322.526,329.249,335.83,342.32800000000003,348.676,354.856,360.832,366.56800000000004,372.039,377.24,382.16900000000004,386.838
Bahrain,115.611,116.83200000000001,119.586,123.48899999999999,128.253,133.585,139.268,145.109,150.982,156.77700000000002,162.42700000000002,167.894,173.144,178.14,182.887,187.43099999999998,191.78,196.063,200.653,206.043,212.605,220.312,229.155,239.52700000000002,251.91099999999997,266.543,283.752,303.175,323.473,342.798,359.88800000000003,374.12,385.95,396.454,407.227,419.43,433.48199999999997,448.973,465.202,481.09,495.931,509.765,523.087,536.2130000000001,549.5880000000001,563.6990000000001,578.668,594.93,613.702,636.545,664.6139999999999,697.549,735.148,778.711,829.8480000000001,889.168,958.414,1035.891,1114.59,1185.029,1240.862,1278.269,1300.2169999999999,1315.411,1336.3970000000002,1371.855
Bangladesh,37894.681000000004,38705.076,39491.056000000004,40300.362,41169.065,42121.524000000005,43169.927,44314.819,45546.484000000004,46847.445,48199.747,49592.802,51030.137,52532.417,54129.1,55834.038,57672.99,59620.669,61579.473,63417.394,65047.77,66424.744,67597.47,68691.185,69884.42,71305.923,72999.136,74925.896,77033.84599999999,79236.776,81470.86,83721.268,86007.33099999999,88338.242,90732.362,93199.865,95742.431,98343.80900000001,100975.321,103599.23199999999,106188.64199999999,108727.43199999999,111221.93800000001,113695.13900000001,116182.26699999999,118706.871,121269.645,123854.64,126447.965,129029.69099999999,131581.24300000002,134107.16,136600.667,139019.001,141307.489,143431.101,145368.00400000002,147139.191,148805.814,150454.708,152149.10199999998,153911.916,155727.053,157571.292,159405.279,161200.886
Barbados,210.99200000000002,215.703,219.636,222.80900000000003,225.26,227.07299999999998,228.35,229.21200000000002,229.83,230.34900000000002,230.93900000000002,231.678,232.58599999999998,233.58700000000002,234.547,235.37400000000002,236.044,236.62099999999998,237.199,237.91299999999998,238.84799999999998,240.035,241.44099999999997,242.976,244.53900000000002,246.03400000000002,247.44400000000002,248.78400000000002,250.032,251.17700000000002,252.19400000000002,253.08,253.84099999999998,254.518,255.19299999999998,255.924,256.736,257.611,258.527,259.45799999999997,260.374,261.275,262.184,263.089,264.015,264.959,265.942,266.945,267.95,268.922,269.847,270.685,271.478,272.258,273.091,274.009,275.039,276.15,277.319,278.47,279.569,280.601,281.585,282.509,283.385,284.217
Belarus,7745.0019999999995,7717.071999999999,7710.0869999999995,7723.232,7755.061,7803.536999999999,7865.984,7939.121999999999,8019.184,8102.198,8184.630999999999,8264.142,8340.235999999999,8414.515,8489.93,8568.454,8650.318000000001,8734.042,8817.942,8899.690999999999,8977.639000000001,9051.218,9120.964,9187.675,9252.678,9316.955,9380.452,9443.001,9505.452,9568.883,9633.888,9700.245,9767.26,9834.424,9901.045,9966.154,10030.068000000001,10091.633,10146.632,10189.615,10216.846,10226.493,10219.918,10200.51,10173.355,10142.308,10109.072,10073.061,10033.061,9986.933,9933.609,9872.961,9807.132,9740.054,9676.902,9621.543,9575.043,9536.864,9507.331,9486.239,9473.071,9468.5,9471.73,9478.902,9484.851,9485.771999999999
Belgium,8637.519,8680.166,8727.985999999999,8779.273000000001,8832.697,8887.274,8942.404,8997.841,9053.636,9110.067,9167.365,9225.407,9283.54,9340.415,9394.292,9443.939,9488.753,9529.042,9565.595,9599.651,9632.18,9663.324,9692.846,9720.761,9747.02,9771.586,9794.777,9816.696,9836.814,9854.377,9868.995,9880.591999999999,9889.824,9897.88,9906.371,9916.578000000001,9928.542,9942.289,9959.02,9980.176,10006.544,10039.445,10078.101,10118.674,10155.919,10186.305,10208.275,10223.789,10237.299,10255.16,10282.033000000001,10319.019,10364.885,10419.032,10480.117,10546.886,10619.567,10697.835,10779.173,10860.29,10938.739,11013.083,11083.55,11151.511999999999,11219.161,11287.94
