Location,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Canada,13733.402,14098.675,14482.056999999999,14884.171999999999,15303.889,15738.362,16182.877,16630.976000000002,17074.869,17506.053,17917.236,18304.387,18668.576,19016.655,19359.165,19703.883,20051.96,20401.082,20751.373,21102.23,21452.737,21804.269,22156.208,22503.243,22838.19,23156.209,23456.507,23741.589,24014.082000000002,24278.047000000002,24537.422000000002,24791.139,25040.947999999997,25296.84,25571.673,25873.949,26208.08,26569.766,26947.842,27326.166,27692.68,28044.606,28384.35,28711.303,29026.188,29330.072999999997,29622.132,29903.15,30178.134,30453.884,30735.772999999997,31024.732000000004,31320.889,31627.806,31949.417,32287.98,32645.482999999997,33019.932,33404.547999999995,33789.831,34168.668,34538.622,34900.705,35255.495,35604.727999999996,35949.709
Caribbean Netherlands,7.122000000000001,7.292999999999999,7.425,7.526,7.608,7.67,7.725,7.7829999999999995,7.854,7.952000000000001,8.074,8.24,8.427,8.645,8.881,9.134,9.377,9.646,9.9,10.141,10.359000000000002,10.546,10.708,10.841,10.949000000000002,11.027000000000001,11.075999999999999,11.097999999999999,11.103,11.135,11.21,11.322000000000001,11.472000000000001,11.652000000000001,11.847999999999999,12.025,12.187000000000001,12.325,12.482000000000001,12.699000000000002,13.019,13.429,13.934000000000001,14.443,14.863,15.107000000000001,15.164000000000001,15.083,14.887,14.638,14.392999999999999,14.127,13.886,13.748,13.894,14.402999999999999,15.337,16.649,18.153,19.646,20.94,21.994,22.844,23.506,24.070999999999998,24.57
Cayman Islands,6.417000000000001,6.271,6.245,6.318,6.4670000000000005,6.6770000000000005,6.92,7.181,7.432,7.67,7.865,8.026,8.146,8.227,8.298,8.369,8.441,8.521,8.631,8.827,9.144,9.581,10.136000000000001,10.784,11.498,12.244000000000002,13.022,13.841,14.661,15.444,16.162,16.789,17.355999999999998,17.906,18.543,19.313,20.250999999999998,21.339000000000002,22.538,23.776,25.01,26.213,27.404,28.646,30.055,31.671999999999997,33.536,35.597,37.74,39.808,41.687,43.316,44.738,46.028,47.299,48.622,50.031000000000006,51.483000000000004,52.926,54.278999999999996,55.507,56.57899999999999,57.523,58.371,59.172,59.963
Central African Republic,1326.652,1339.84,1353.47,1367.797,1383.0729999999999,1399.487,1417.2179999999998,1436.391,1457.1129999999998,1479.47,1503.5079999999998,1529.227,1556.661,1585.763,1616.516,1648.8329999999999,1682.885,1718.6029999999998,1755.344,1792.22,1828.7089999999998,1864.598,1900.317,1936.8410000000001,1975.521,2017.372,2062.405,2110.4570000000003,2162.249,2218.575,2279.821,2346.797,2418.844,2493.135,2565.803,2634.232,2696.982,2755.244,2812.244,2872.6679999999997,2939.78,3014.6240000000003,3095.8070000000002,3181.222,3267.67,3352.7670000000003,3435.821,3517.309,3597.385,3676.508,3754.986,3832.203,3907.612,3981.665,4055.0359999999996,4127.91,4201.758,4275.8,4345.3859999999995,4404.23,4448.525,4476.153,4490.416,4499.653,4515.392,4546.1
Chad,2502.317,2543.9,2588.905,2636.261,2685.204,2735.208,2786.0490000000004,2837.762,2890.635,2945.1009999999997,3001.593,3060.355,3121.216,3183.551,3246.505,3309.573,3372.17,3434.8109999999997,3499.3520000000003,3568.3759999999997,3643.5490000000004,3726.091,3815.103,3907.632,3999.512,4087.948,4172.23,4253.9890000000005,4335.645,4420.715999999999,4512.042,4610.167,4715.197,4829.094,4954.045999999999,5091.535,5243.005999999999,5408.0869999999995,5584.339,5768.085999999999,5956.859,6150.081,6349.089,6555.603,6772.133000000001,7000.722,7241.134,7493.251,7759.258000000001,8041.846,8342.559000000001,8663.011999999999,9001.689,9353.201,9710.043,10067.009,10421.597,10775.708,11133.861,11502.786,11887.202,12288.651000000002,12705.135,13133.589,13569.438,14009.413
Channel Islands,102.234,102.96700000000001,103.661,104.323,104.97200000000001,105.609,106.26799999999999,106.96799999999999,107.711,108.525,109.42,110.399,111.45700000000001,112.595,113.773,114.995,116.227,117.47399999999999,118.726,119.97200000000001,121.197,122.413,123.61399999999999,124.725,125.682,126.415,126.902,127.18299999999999,127.39,127.69200000000001,128.21200000000002,128.981,129.97899999999998,131.156,132.453,133.808,135.23,136.716,138.187,139.53,140.671,141.56799999999998,142.25799999999998,142.819,143.384,144.046,144.829,145.715,146.671,147.687,148.725,149.793,150.901,152.03799999999998,153.17,154.29399999999998,155.411,156.513,157.58100000000002,158.60299999999998,159.58100000000002,160.497,161.358,162.18,162.969,163.75799999999998
Chile,6188.284000000001,6327.085,6467.64,6610.731,6756.969,6906.838000000001,7060.6630000000005,7218.5869999999995,7380.642,7546.713000000001,7716.625,7890.156,8067.1359999999995,8247.415,8430.838,8617.077,8806.136999999999,8997.325,9188.822,9378.243,9563.865,9745.189,9922.558,10096.295,10267.056,10435.534,10601.836000000001,10766.419,10930.783000000001,11096.868,11266.226,11439.143999999998,11615.836000000001,11797.534,11985.658000000001,12181.028,12384.108,12594.145,12809.025,13025.796999999999,13242.132,13457.243999999999,13671.033000000001,13882.668,14091.389,14296.613000000001,14497.826000000001,14694.835,14887.756000000001,15076.952,15262.753999999999,15444.969,15623.635,15799.542,15973.778,16147.063999999998,16319.792,16491.686999999998,16661.942,16829.442,16993.354,17153.357,17309.746,17462.982,17613.798,17762.681
China,554419.275,569611.075,582029.301,592567.861,601971.218,610834.3960000001,619597.547,628551.405,637853.6089999999,647555.963,657686.1429999999,668334.897,679732.315,692280.49,706460.953,722562.183,740745.642,760771.063,782008.729,803577.2209999999,824788.457,845481.578,865686.53,885145.933,903613.538,920945.083,937018.252,951927.444,966039.822,979880.6190000001,993877.31,1008000.152,1022253.396,1037123.834,1053210.735,1070863.389,1090348.0559999999,1111341.725,1132866.344,1153565.894,1172445.2,1189183.522,1204003.9009999998,1217129.133,1228991.932,1239940.004,1249981.4409999999,1259066.9740000002,1267441.503,1275406.699,1283198.97,1290937.649,1298646.577,1306343.9109999998,1314007.478,1321623.49,1329209.094,1336800.506,1344415.227,1352068.091,1359755.102,1367480.264,1375198.619,1382793.2119999998,1390110.388,1397028.553
"China, Hong Kong SAR",1973.9979999999998,2063.3160000000003,2160.1020000000003,2264.109,2374.5389999999998,2490.103,2608.9410000000003,2728.665,2846.522,2959.533,3065.187,3162.031,3250.3109999999997,3332.1620000000003,3410.9590000000003,3489.2129999999997,3568.3759999999997,3648.033,3726.705,3802.0959999999995,3873.112,3937.829,3998.312,4062.042,4139.096,4236.002,4356.575,4496.871,4646.177,4789.32,4915.467000000001,5020.488,5107.909000000001,5183.912,5258.161,5337.621999999999,5424.517,5516.357,5609.691,5699.221,5781.459,5854.088000000001,5919.289000000001,5983.355,6055.085999999999,6140.101,6241.81,6356.47,6473.835999999999,6579.564,6663.654,6722.306,6759.491,6782.571,6802.597,6827.7609999999995,6860.376,6898.397,6940.323,6983.272,7025.221,7065.815,7106.399,7148.571,7194.563,7245.701
"China, Macao SAR",196.483,200.49,201.274,199.292,195.132,189.46099999999998,183.047,176.753,171.523,168.28900000000002,167.796,170.465,176.188,184.25,193.563,203.231,213.196,223.42,233.00400000000002,240.842,246.195,248.739,248.767,246.947,244.28400000000002,241.628,239.085,236.695,235.19799999999998,235.479,238.118,243.42700000000002,251.21900000000002,260.997,271.993,283.58099999999996,295.677,308.275,320.877,332.901,343.935,353.764,362.459,370.345,377.96,385.686,393.56699999999995,401.564,409.837,418.60400000000004,427.97900000000004,438.08099999999996,448.89599999999996,460.147,471.45300000000003,482.559,493.32,503.82300000000004,514.3480000000001,525.313,536.969,549.439,562.531,575.841,588.781,600.942
"China, Taiwan Province of China",7623.36,7893.06,8163.933000000001,8440.26,8725.466999999999,9022.183,9331.898000000001,9655.237,9991.985,10341.215,10701.713,11072.338,11452.476,11842.14,12241.535,12649.726,13067.806,13492.499,13913.345,14316.714,14693.153,15037.995,15354.587,15651.322,15940.896999999999,16232.671999999999,16528.707,16826.465,17125.168999999998,17422.717,17717.372,18009.439,18299.157,18584.306,18862.027,19130.093,19387.424,19634.014,19869.947,20095.747,20311.698,20518.8,20716.683999999997,20902.884,21074.053,21228.512000000002,21364.13,21483.507999999998,21595.372000000003,21711.572999999997,21840.235,21985.282000000003,22143.337000000003,22306.338,22462.374,22602.886000000002,22725.478,22833.013,22928.526,23017.055,23102.406000000003,23185.01,23263.897,23339.857999999997,23413.652000000002,23485.755
Colombia,12340.899,12699.952,13064.688999999998,13438.645,13824.726,14225.204,14641.72,15075.305,15526.39,15994.889,16480.383,16982.315,17500.171000000002,18033.55,18581.974,19144.223,19721.462,20311.371,20905.058999999997,21490.945,22061.215,22611.986,23146.803,23674.504,24208.021,24756.972999999998,25323.406000000003,25905.127,26502.166,27113.512000000002,27737.9,28375.991,29027.162,29687.093999999997,30350.086,31011.688,31669.776,32324.325,32975.535,33624.443999999996,34271.565,34916.766,35558.682,36195.168,36823.537000000004,37441.977,38049.038,38645.411,39234.062000000005,39819.279,40403.958,40988.909,41572.491,42152.151,42724.163,43285.634000000005,43835.722,44374.572,44901.544,45416.181,45918.097,46406.64599999999,46881.475,47342.981,47791.91099999999,48228.697
Comoros,159.459,163.139,166.541,169.752,172.85299999999998,175.903,178.946,181.99200000000002,185.043,188.097,191.12099999999998,194.139,197.19799999999998,200.372,203.753,207.424,211.47799999999998,215.89700000000002,220.575,225.325,230.054,234.644,239.235,244.208,250.104,257.29,265.953,275.9,286.634,297.447,307.829,317.606,326.94599999999997,336.096,345.466,355.337,365.76,376.654,387.963,399.63199999999995,411.594,423.87199999999996,436.44800000000004,449.274,462.277,475.394,488.62699999999995,501.95300000000003,515.385,528.8480000000001,542.357,555.888,569.479,583.211,597.2280000000001,611.627,626.425,641.62,657.2289999999999,673.252,689.692,706.569,723.868,741.5,759.385,777.424
Congo,827.252,844.0039999999999,861.706,880.318,899.822,920.2180000000001,941.5360000000001,963.824,987.1419999999999,1011.584,1037.22,1064.111,1092.292,1121.735,1152.412,1184.316,1217.391,1251.703,1287.516,1325.1470000000002,1364.8120000000001,1406.6429999999998,1450.5179999999998,1496.047,1542.69,1590.039,1637.941,1686.524,1736.099,1787.129,1839.935,1894.6760000000002,1951.195,2009.165,2068.132,2127.77,2188.0460000000003,2249.146,2311.348,2375.008,2440.4570000000003,2507.772,2577.035,2648.507,2722.4970000000003,2799.255,2879.222,2962.47,3048.453,3136.344,3225.7270000000003,3315.8059999999996,3407.18,3502.5190000000002,3605.4390000000003,3718.243,3842.365,3976.2459999999996,4115.435,4253.712,4386.693,4512.73,4633.363,4751.393,4871.101,4995.648
Cook Islands,15.077,15.41,15.642999999999999,15.844000000000001,16.070999999999998,16.372,16.738,17.155,17.581,17.967,18.259,18.432000000000002,18.51,18.565,18.698,18.968,19.409000000000002,19.977,20.586,21.09,21.405,21.51,21.421999999999997,21.176,20.81,20.349,19.812,19.195999999999998,18.57,18.028,17.637999999999998,17.43,17.387,17.465999999999998,17.594,17.733,17.851,17.97,18.08,18.211,18.355999999999998,18.528,18.714000000000002,18.869,18.963,18.956,18.815,18.569000000000003,18.295,18.124000000000002,18.122,18.322,18.702,19.148,19.522000000000002,19.71,19.695999999999998,19.511,19.212,18.868,18.545,18.257,17.996,17.767,17.588,17.449
Costa Rica,959.495,986.1560000000001,1015.8789999999999,1048.214,1082.877,1119.617,1158.318,1198.942,1241.553,1286.229,1333.04,1381.9170000000001,1432.585,1484.51,1537.0410000000002,1589.621,1642.1860000000001,1694.71,1746.869,1798.3110000000001,1848.866,1898.36,1947.0479999999998,1995.743,2045.58,2097.407,2151.4970000000003,2207.725,2266.154,2326.7039999999997,2389.31,2454.129,2521.1679999999997,2589.93,2659.781,2730.2329999999997,2800.986,2872.211,2944.5570000000002,3018.955,3095.995,3175.6490000000003,3257.466,3341.0040000000004,3425.69,3510.926,3596.732,3682.725,3767.373,3848.723,3925.4429999999998,3996.798,4063.204,4125.971,4187.038,4247.840999999999,4308.794,4369.469,4429.508,4488.263,4545.28,4600.474,4654.122,4706.401,4757.575,4807.852
Croatia,3850.297,3886.2209999999995,3922.6740000000004,3959.116,3995.135,4030.414,4064.7740000000003,4098.124,4130.491,4161.964,4192.634,4222.502,4251.420999999999,4279.058,4304.986,4328.92,4350.813,4370.856,4389.32,4406.607,4423.072,4438.814,4453.987,4469.036,4484.521,4500.865,4518.101,4536.198,4555.42,4576.032999999999,4598.129,4621.419,4645.413,4669.613,4693.431,4716.117,4737.9490000000005,4758.151,4773.683,4780.629,4776.372,4760.003,4732.862,4697.535,4657.802,4616.763,4574.887,4532.399,4491.902,4456.433,4428.072,4408.08,4395.819,4388.946,4383.92,4378.057,4370.6990000000005,4362.266,4352.428,4341.084,4328.153,4313.371,4296.526,4277.806,4257.532999999999,4236.016
Cuba,5919.993,6051.291,6180.031,6304.523,6424.172,6539.469,6652.09,6764.786,6881.21,7005.481,7141.135,7289.826,7450.401999999999,7618.354,7787.146,7951.933000000001,8110.43,8263.546,8413.327,8563.193000000001,8715.123,8869.961,9025.3,9176.052,9315.373,9438.442,9544.271,9634.68,9711.392,9777.29,9835.177,9884.213,9925.623,9966.733,10017.059000000001,10082.989,10168.087,10269.567,10379.548,10486.508999999998,10582.081,10663.585,10733.363000000001,10794.135,10850.585,10906.043,10961.011999999999,11013.983,11064.097,11110.003999999999,11150.736,11186.542,11217.998,11244.885,11266.941,11284.253,11296.233,11303.687,11309.753999999999,11318.601999999999,11333.051000000001,11354.651000000002,11382.146,11412.167,11439.767,11461.431999999999
Cura̤ao,100.179,104.56700000000001,108.28399999999999,111.50399999999999,114.346,116.916,119.27799999999999,121.465,123.484,125.309,126.941,128.378,129.68200000000002,130.94899999999998,132.322,133.878,135.65,137.609,139.68,141.717,143.634,145.447,147.15200000000002,148.618,149.683,150.25799999999998,150.24,149.715,148.929,148.27700000000002,147.996,148.21,148.814,149.58,150.187,150.377,150.05700000000002,149.32399999999998,148.35399999999998,147.41,146.671,146.239,146.02100000000002,145.764,145.125,143.884,141.983,139.569,136.891,134.311,132.099,130.27700000000002,128.829,128.02100000000002,128.157,129.394,131.898,135.498,139.73,143.933,147.608,150.593,152.985,154.895,156.512,158.01
Cyprus,494.015,500.381,506.62699999999995,513.434,521.184,529.972,539.565,549.461,558.895,566.982,572.93,576.395,577.691,577.913,578.627,580.966,585.308,591.308,598.493,606.113,613.621,620.859,628.002,635.111,642.339,649.755,657.534,665.528,673.2510000000001,680.0110000000001,685.4060000000001,689.173,691.702,694.077,697.717,703.687,712.341,723.38,736.4789999999999,751.044,766.6139999999999,783.1289999999999,800.6089999999999,818.7510000000001,837.11,855.3839999999999,873.423,891.192,908.704,926.05,943.2860000000001,960.2819999999999,976.966,993.563,1010.41,1027.6580000000001,1045.509,1063.712,1081.563,1098.076,1112.607,1124.835,1135.062,1143.896,1152.309,1160.985
Czechia,8902.619,9007.006,9110.14,9205.963,9290.488000000001,9361.761999999999,9420.024,9467.546999999999,9508.368,9547.667,9590.187,9638.411,9691.077,9742.466,9784.356,9811.407,9821.115,9817.192,9808.04,9805.458,9817.817,9847.386,9891.283000000001,9946.376,10007.469000000001,10070.144,10134.716999999999,10200.921,10263.109,10314.154,10349.271,10365.718,10365.453000000001,10354.306999999999,10340.848,10331.37,10327.528,10327.732,10331.215,10336.17,10341.169,10346.75,10353.318000000001,10358.972,10361.242,10358.456,10350.57,10338.593,10323.488000000001,10306.645,10289.594000000001,10271.204,10252.439,10239.277,10239.536,10258.176,10298.288,10356.586,10423.794,10486.845,10536.286,10568.715,10586.755,10594.481000000002,10598.526000000002,10603.761999999999
C̫te d'Ivoire,2630.131,2695.115,2770.362,2852.498,2939.219,3029.303,3122.6279999999997,3220.159,3323.761,3435.93,3558.988,3694.205,3841.071,3996.941,4157.965,4321.791,4487.204000000001,4656.353,4834.279,5027.971,5242.395,5479.338000000001,5737.281,6013.861999999999,6305.286999999999,6608.609,6922.982,7248.828,7585.914000000001,7934.279,8293.675,8664.056999999999,9044.473,9432.731,9826.055,10222.558,10620.267,11019.651000000002,11424.26,11839.243,12267.753999999999,12710.008,13163.018999999998,13622.731000000002,14083.611,14540.82,14995.249,15445.986,15884.552,16300.233,16686.561,17040.152,17366.517,17679.355,17997.738,18336.303,18699.435,19085.941000000003,19497.986,19936.366,20401.331000000002,20895.311,21418.603,21966.312,22531.35,23108.472
Dem. People's Republic of Korea,10549.472,10248.496,10049.029,9957.242,9972.436,10086.991,10285.94,10547.389,10843.979,11145.152,11424.176000000001,11665.595,11871.712,12065.468,12282.419,12547.525,12864.954,13222.694,13609.982,14010.339,14410.4,14809.521,15207.771,15593.351,15952.078000000001,16274.74,16554.746,16796.578,17015.983,17235.666,17472.14,17731.23,18008.564,18298.214,18590.138,18877.238,19156.795,19431.986,19708.323,19993.755,20293.054,20609.15,20937.404,21265.834,21577.982000000004,21862.299,22113.548,22335.638,22537.336,22731.985,22929.075,23131.81,23336.681,23538.54,23729.498,23904.167,24061.097,24203.289,24335.146,24463.021,24591.599,24722.298,24854.034,24985.976000000002,25116.362999999998,25243.917
Democratic Republic of the Congo,12183.659,12428.825,12680.927,12944.385,13222.518,13517.513,13830.44,14161.242,14508.912,14871.771999999999,15248.251,15637.733,16041.263,16461.93,16903.923,17369.883,17861.881,18378.214,18913.203,19458.904,20009.935,20562.865,21120.14,21689.238999999998,22280.923,22902.319,23559.071,24247.55,24954.655,25661.884,26357.462000000003,27039.467999999997,27717.337000000003,28404.876,29121.474,29883.446,30685.824,31529.822999999997,32444.156000000003,33465.441,34614.581,35914.825,37346.147000000004,38833.595,40273.701,41595.744,42770.544,43830.14599999999,44840.529,45898.667,47076.387,48394.337999999996,49835.755999999994,51390.032999999996,53034.217000000004,54751.475999999995,56543.011,58417.562000000005,60373.608,62409.435,64523.263,66713.59700000001,68978.682,71316.033,73722.86,76196.619
Denmark,4268.271,4308.920999999999,4346.182,4380.3009999999995,4411.657,4440.778,4468.346,4495.221,4522.334,4550.682,4581.101,4614.027,4649.346,4686.279,4723.629,4760.46,4796.487,4831.752,4866.068,4899.291,4931.241,4961.762,4990.545999999999,5017.248,5041.419,5062.729,5081.267,5097.045,5109.69,5118.707,5123.945,5125.298,5123.349,5119.607,5116.058,5114.2429999999995,5114.657,5117.277,5122.441,5130.361,5141.115,5154.907999999999,5171.65,5190.742,5211.334,5232.704000000001,5254.86,5277.710999999999,5300.379,5321.774,5341.194,5358.062,5372.8009999999995,5386.968000000001,5402.7609999999995,5421.701999999999,5444.303000000001,5469.956999999999,5497.795,5526.446999999999,5554.844,5582.8730000000005,5610.66,5637.816999999999,5663.914000000001,5688.695
Djibouti,62.001000000000005,63.306000000000004,64.75,66.26899999999999,67.872,69.589,71.497,73.702,76.35300000000001,79.612,83.63600000000001,88.49799999999999,94.204,100.62799999999999,107.583,114.963,122.866,131.39700000000002,140.46200000000002,149.887,159.659,169.372,179.22400000000002,190.56799999999998,205.18099999999998,224.183,248.55599999999998,277.47900000000004,308.008,336.085,358.96,374.93699999999995,385.27099999999996,393.80199999999996,406.017,425.61300000000006,454.361,490.33,528.999,563.864,590.398,606.844,615.054,618.495,622.366,630.388,643.682,660.953,680.612,700.0989999999999,717.584,732.711,746.221,758.615,770.752,783.2539999999999,796.2080000000001,809.4019999999999,822.934,836.84,851.1460000000001,865.937,881.185,896.688,912.164,927.414
Dominica,51.1,51.706,52.301,52.946999999999996,53.688,54.56,55.547,56.63,57.772,58.922,60.011,61.032,61.982,62.918,63.926,65.038,66.311,67.686,69.04,70.21300000000001,71.07300000000001,71.569,71.734,71.744,71.807,72.094,72.642,73.411,74.242,74.925,75.314,75.375,75.17,74.747,74.21300000000001,73.643,73.025,72.37,71.742,71.242,70.926,70.842,70.97,71.21,71.373,71.368,71.145,70.753,70.29,69.903,69.676,69.67,69.824,70.093,70.37899999999999,70.627,70.807,70.95,71.074,71.229,71.44,71.718,72.044,72.4,72.778,73.16199999999999
Dominican Republic,2364.654,2438.405,2517.259,2600.798,2688.698,2780.652,2876.428,2975.8070000000002,3078.6290000000004,3184.757,3294.042,3406.2990000000004,3521.278,3638.6279999999997,3757.9559999999997,3878.948,4001.375,4125.109,4250.025,4376.054,4503.1140000000005,4631.1140000000005,4759.934,4889.436,5019.473,5149.935,5280.723000000001,5411.865,5543.517,5675.931,5809.269,5943.590999999999,6078.82,6214.857,6351.571999999999,6488.856,6626.5419999999995,6764.624,6903.316,7042.937,7183.647,7325.621999999999,7468.5509999999995,7611.465,7753.052,7892.423000000001,8029.113,8163.472,8296.375,8429.112,8562.622,8697.126,8832.285,8967.76,9102.998,9237.565999999999,9371.338,9504.353000000001,9636.52,9767.758,9897.985,10027.095,10154.95,10281.296,10405.844000000001,10528.393999999998
Ecuador,3470.159,3561.1540000000005,3655.014,3752.135,3852.8590000000004,3957.485,4066.239,4179.319,4296.833,4418.892,4545.55,4676.859,4812.89,4953.733,5099.468,5250.119000000001,5405.685,5566.057,5730.906,5899.845,6072.526999999999,6248.835,6428.710999999999,6611.916,6798.206,6987.391,7179.399,7374.234,7571.959,7772.653,7976.445,8183.194,8392.94,8606.213,8823.751,9045.979,9272.905999999999,9504.129,9739.176,9977.377,10218.091,10460.99,10705.667,10951.202,11196.479,11440.583,11683.479,11924.993,12163.885,12398.691,12628.596000000001,12852.755,13072.06,13289.601,13509.646999999999,13735.233,13967.48,14205.453000000001,14447.562,14691.275,14934.69,15177.355,15419.666000000001,15661.546999999999,15903.112,16144.368
Egypt,20713.331000000002,21215.014,21746.807999999997,22309.097999999998,22901.597999999998,23523.384,24172.872000000003,24847.822,25545.476000000002,26262.697,26996.533,27744.712000000003,28506.176,29281.25,30071.102000000003,30875.964,31697.616,32534.021,33377.259,34216.826,35046.273,35863.382000000005,36673.642,37488.067,38322.022000000004,39187.702000000005,40089.032,41026.477,42004.655,43027.816,44099.142,45216.505999999994,46379.62,47594.556,48868.950999999994,50204.985,51607.703,53066.22900000001,54547.295999999995,56006.573,57412.215,58752.39,60035.53599999999,61275.600999999995,62495.745,63714.386,64933.456,66151.117,67378.056,68626.664,69905.988,71226.94,72590.118,73981.942,75381.899,76778.149,78159.048,79537.253,80953.881,82465.022,84107.606,85897.561,87813.257,89807.433,91812.56599999999,93778.17199999999
El Salvador,2199.8979999999997,2236.576,2278.3070000000002,2324.5589999999997,2374.972,2429.333,2487.5860000000002,2549.826,2616.277,2687.2329999999997,2762.8990000000003,2843.24,2927.857,3015.887,3106.1859999999997,3197.863,3290.4109999999996,3383.7009999999996,3477.742,3572.7070000000003,3668.595,3765.1659999999997,3861.9309999999996,3958.323,4053.7129999999997,4147.525,4239.675,4329.964,4417.516,4501.316,4580.704000000001,4655.3640000000005,4725.72,4792.903,4858.532,4923.86,4988.943,5053.714,5119.035,5185.943,5254.984,5326.656999999999,5400.331,5474.0,5544.945,5611.115,5671.925,5727.755,5778.706,5825.187,5867.626,5905.9619999999995,5940.303000000001,5971.535,6000.775,6028.960999999999,6056.478,6083.475,6110.3009999999995,6137.276,6164.626,6192.56,6221.246,6250.776999999999,6281.189,6312.478
Equatorial Guinea,225.537,230.717,233.85299999999998,235.88299999999998,237.547,239.375,241.67,244.553,247.93200000000002,251.601,255.32299999999998,258.947,262.59,266.598,271.457,277.39599999999996,284.868,293.44,301.353,306.233,306.515,301.666,292.585,281.02099999999996,269.426,259.747,252.19400000000002,246.67700000000002,244.485,247.078,255.325,270.063,290.617,314.475,338.086,358.89599999999996,376.024,390.173,402.32599999999996,414.13800000000003,426.846,440.624,455.148,470.61,487.14,504.871,523.999,544.636,566.673,589.938,614.323,639.762,666.4069999999999,694.6110000000001,724.817,757.317,792.217,829.327,868.418,909.1110000000001,951.1039999999999,994.29,1038.593,1083.746,1129.424,1175.389
Eritrea,1142.1480000000001,1159.798,1179.537,1201.124,1224.384,1249.193,1275.5339999999999,1303.42,1332.953,1364.276,1397.491,1432.64,1469.645,1508.273,1548.1870000000001,1589.1789999999999,1631.1470000000002,1674.204,1718.525,1764.3429999999998,1811.878,1861.1989999999998,1912.3020000000001,1965.16,2019.717,2075.965,2133.723,2193.0679999999998,2254.45,2318.495,2385.54,2454.766,2525.521,2598.41,2674.289,2753.151,2837.111,2924.349,3006.361,3071.7709999999997,3113.3109999999997,3127.297,3118.5820000000003,3099.047,3085.4429999999998,3090.159,3116.3790000000004,3161.35,3224.223,3302.263,3392.801,3497.1240000000003,3614.639,3738.265,3858.623,3969.007,4066.6479999999997,4153.332,4232.6359999999995,4310.334,4390.84,4474.69,4560.977,4650.998,4746.045,4846.976
Estonia,1100.995,1113.247,1125.24,1136.904,1148.213,1159.231,1170.101,1181.019,1192.253,1204.108,1216.819,1230.499,1245.076,1260.213,1275.437,1290.396,1304.987,1319.245,1333.1760000000002,1346.818,1360.2020000000002,1373.306,1386.068,1398.471,1410.467,1422.0420000000001,1433.1779999999999,1443.889,1454.273,1464.4160000000002,1474.4360000000001,1483.8729999999998,1492.641,1501.42,1511.1989999999998,1522.3970000000002,1536.033,1551.2079999999999,1564.192,1569.971,1565.2420000000002,1548.215,1520.81,1488.059,1457.0929999999998,1433.024,1417.736,1409.674,1406.35,1403.789,1399.112,1391.729,1382.7320000000002,1372.9089999999999,1363.565,1355.648,1349.297,1344.0720000000001,1339.7120000000002,1335.83,1332.102,1328.4489999999998,1324.934,1321.56,1318.359,1315.3210000000001
Ethiopia,18128.034,18466.968,18819.7,19184.292,19560.016,19947.292,20347.813000000002,20764.45,21201.034,21661.996,22151.278,22671.19,23221.389,23798.429,24397.023999999998,25013.626,25641.376,26281.208,26946.078999999998,27654.161,28415.077,29245.207000000002,30132.58,31025.115,31851.708,32566.821,33146.891,33622.39,34068.316,34590.226,35264.898,36120.288,37136.848,38285.883,39518.801,40800.343,42120.73,43493.282999999996,44932.064000000006,46458.913,48086.515999999996,49821.083,51647.768,53532.956,55431.123,57309.88,59155.148,60976.45,62794.151,64640.054000000004,66537.33099999999,68492.257,70497.192,72545.144,74624.405,76727.083,78850.689,81000.409,83184.892,85416.25300000001,87702.67,90046.756,92444.183,94887.724,97366.774,99873.03300000001
Faeroe Islands,31.503,31.538,31.671999999999997,31.881,32.159,32.496,32.882,33.295,33.743,34.192,34.661,35.115,35.57,36.014,36.454,36.9,37.334,37.768,38.2,38.646,39.083,39.537,40.009,40.486,40.955,41.407,41.848,42.275,42.693000000000005,43.101000000000006,43.513999999999996,43.917,44.306999999999995,44.7,45.122,45.573,46.077,46.621,47.117,47.466,47.593999999999994,47.457,47.101000000000006,46.64,46.25,46.04,46.058,46.251000000000005,46.58,46.937,47.258,47.526,47.769,47.974,48.143,48.285,48.383,48.448,48.485,48.516999999999996,48.55,48.608000000000004,48.666000000000004,48.747,48.842,48.965
Falkland Islands (Malvinas),2.259,2.249,2.24,2.219,2.21,2.204,2.185,2.18,2.165,2.1519999999999997,2.15,2.125,2.115,2.109,2.0869999999999997,2.0780000000000003,2.0580000000000003,2.036,2.026,2.008,2.001,1.9709999999999999,1.969,1.939,1.935,1.9169999999999998,1.903,1.886,1.876,1.865,1.848,1.8530000000000002,1.8430000000000002,1.847,1.85,1.855,1.865,1.881,1.906,1.9409999999999998,1.989,2.063,2.142,2.2359999999999998,2.333,2.435,2.5380000000000003,2.637,2.736,2.815,2.8819999999999997,2.924,2.947,2.951,2.9539999999999997,2.9389999999999996,2.9210000000000003,2.907,2.885,2.867,2.852,2.8560000000000003,2.858,2.87,2.887,2.898
