country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51369.48828125,62885.046875,43772.59375,36424.96484375,26414.796875,17883.029296875,17508.228515625,17368.396484375,16578.798828125,17906.126953125,21443.740234375,23873.072265625,24017.857421875,25528.771484375,27610.419921875,39703.83203125,58231.3515625,80557.828125,106090.625,102116.609375,128166.7265625,155512.796875,155006.578125,153906.8125,152987.0
Bahamas,,,,,,,,,,,,,,,,,,,,,2245.812255859375,2261.0107421875,2226.578125,2361.55712890625,1900.7327880859375,1811.62255859375,1956.539794921875,2318.6787109375,2716.02734375,3854.378662109375,3850.208251953125,3524.7900390625,3376.298583984375,3339.555419921875,3909.423828125,4388.265625,4565.275390625,4667.505859375,4812.5732421875,5280.048828125,5305.91015625,4981.75537109375,4900.86083984375,4905.47509765625,5150.013671875,5353.0634765625,6216.041015625,6588.12158203125,7324.7666015625,8008.34912109375,8331.462890625,8206.2548828125,8991.25,8755.544921875,8591.654296875,9170.7998046875,9250.3115234375,9666.095703125,9329.4677734375,8705.4794921875,8824.6669921875,8704.849609375,8793.34375,9007.4287109375,8983.2578125
Bahrain,,,,,,,,,,,,,,,,,,,,,3207.7001953125,3257.674560546875,3584.14794921875,4167.49609375,4467.28662109375,3873.402099609375,5701.9287109375,5843.52978515625,5879.36962890625,6997.7431640625,8172.7587890625,7731.9130859375,6863.96240234375,7209.44775390625,8206.548828125,6228.0185546875,5828.30859375,5763.57763671875,6622.39697265625,6905.38916015625,7660.71630859375,7941.7802734375,8451.921875,9011.1767578125,9039.9091796875,9496.25390625,9463.0166015625,10369.0048828125,10155.2421875,12083.517578125,16194.6708984375,17534.21875,17741.16015625,21622.603515625,25207.962890625,33084.39453125,37377.45703125,42805.42578125,48997.1484375,43944.37109375,49937.31640625,54221.76953125,55389.0546875,55745.1953125,56691.87109375
Bangladesh,,,,,,,,,,72002.3984375,77779.4765625,77784.6015625,82569.390625,87996.8046875,87750.5703125,86592.609375,88017.1640625,85763.140625,88174.6328125,91980.59375,99347.59375,97214.1953125,92048.4453125,77065.359375,77225.9296875,73947.53125,84864.6640625,88751.578125,90830.0546875,96177.5625,96436.890625,98307.65625,98014.3203125,100008.4453125,109227.4609375,113953.3671875,115859.1015625,117935.7265625,122475.2421875,137897.921875,143691.53125,150222.40625,153956.21875,158934.828125,166626.03125,173014.015625,177156.1875,177238.796875,178308.515625,176939.734375,178764.9375,183189.75,190859.375,196731.21875,202885.359375,210007.796875,231298.6875,258274.78125,281918.4375,312237.625,351113.5,395446.5625,416658.25,441390.5,458928.46875
Barbados,,,,,,,,,,,2014.3148193359375,2062.718017578125,2138.498291015625,2271.717529296875,2219.68701171875,2242.6865234375,2358.064697265625,2663.08837890625,2725.808837890625,3065.324951171875,3379.862060546875,3532.763916015625,3523.789306640625,3690.3447265625,3493.953369140625,3842.686279296875,3019.149658203125,3068.91162109375,3014.98046875,3177.597412109375,3282.02490234375,3199.523193359375,3067.2236328125,3096.83056640625,3229.55908203125,3241.45166015625,3566.61376953125,3881.35595703125,4052.2177734375,4453.3857421875,4416.6669921875,4482.7275390625,4492.8447265625,4707.6337890625,4974.3701171875,5131.115234375,5793.2724609375,6034.18896484375,5935.84228515625,6060.9384765625,6123.81201171875,5668.6318359375,5489.06884765625,5437.859375,5601.2373046875,5740.84423828125,5812.123046875,5863.53271484375,5507.255859375,5284.1103515625,4833.4072265625,4406.44775390625,4153.72119140625,4101.95947265625,4029.591552734375
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136331.171875,135062.71875,113832.3984375,89690.8671875,79522.8828125,76316.234375,78660.265625,78401.078125,79229.1015625,78520.96875,79926.390625,82617.9609375,84190.1015625,86421.9609375,92019.703125,100418.5390625,111712.953125,121861.2265625,138539.0,134128.0,144390.25,170190.75,183207.203125,183494.46875,192766.875
Belgium,70060.75,74889.4296875,76454.0546875,76541.84375,79861.21875,84757.109375,88625.203125,89308.671875,88834.0625,90101.0625,95888.34375,100249.6953125,105575.671875,109043.875,117187.6484375,122069.9921875,125963.1953125,130722.4453125,136087.828125,145781.40625,154872.421875,159997.84375,170599.109375,183843.265625,190273.640625,186394.25,198701.03125,202897.34375,210816.40625,218437.828125,227267.203125,212572.875,205623.359375,199350.9375,199802.734375,197971.875,208769.734375,217600.0625,234993.578125,249226.84375,259741.734375,265404.46875,274541.46875,276597.5625,287640.21875,298082.5,299984.46875,317602.375,327893.96875,341806.96875,364033.5625,366889.5625,376542.3125,368424.71875,375420.1875,378760.6875,391103.9375,411561.4375,422802.90625,422131.90625,445068.28125,459961.875,476869.40625,484504.25,490229.78125
Belize,,,,,,,,,,,,,,,,,,,,,477.4605712890625,517.9041137695312,542.6902465820312,513.8070068359375,618.7373046875,594.90234375,509.6871032714844,560.5196533203125,575.1719360351562,618.4180908203125,718.0386962890625,582.854248046875,602.2801513671875,605.6766357421875,618.0147705078125,703.168212890625,781.73779296875,871.1537475585938,926.4839477539062,1011.1644897460938,1154.0223388671875,1085.7449951171875,1157.177490234375,1282.4122314453125,1410.66845703125,1546.1044921875,1427.7647705078125,1425.6964111328125,1477.7952880859375,1534.165771484375,1681.1563720703125,1795.4720458984375,1910.486083984375,2018.2498779296875,2088.131103515625,2131.586181640625,2240.390380859375,2321.726318359375,2304.370361328125,2309.68310546875,2457.328369140625,2545.69873046875,2665.86572265625,2722.81787109375,2951.942626953125
Benin,,,,,,,,,,3336.412109375,3597.799560546875,3642.093017578125,3499.05517578125,3673.58251953125,3899.166259765625,4202.109375,4316.82861328125,4463.71484375,4880.48974609375,5063.83740234375,5529.76318359375,5685.54736328125,5769.21240234375,6175.69287109375,6292.73291015625,5432.76513671875,5672.7060546875,5455.39013671875,5672.6484375,6038.37548828125,6841.978515625,7523.2822265625,5822.71728515625,5948.64111328125,6630.810546875,7228.32470703125,6483.70263671875,6021.15380859375,6218.205078125,5841.783203125,6013.17919921875,6306.02490234375,6502.69677734375,6826.0498046875,6100.0595703125,6800.1826171875,7392.76416015625,7980.66064453125,8389.2216796875,9119.3994140625,10112.326171875,10781.1162109375,11892.2548828125,12772.8349609375,13816.0185546875,14332.345703125,14673.2265625,15244.146484375,16019.48046875,16399.68359375,16434.376953125,16743.625,17704.11328125,18881.046875,20368.6953125
Bermuda,,,,,,,,,,,,,,,,,,,,,1059.0745849609375,1096.9498291015625,1117.4317626953125,1132.4979248046875,1139.33154296875,1180.4759521484375,1300.3681640625,1330.439208984375,1346.0174560546875,1413.771240234375,1473.9906005859375,1455.578125,1505.9713134765625,1564.2044677734375,1550.6859130859375,1641.932373046875,1758.2174072265625,1829.59423828125,1838.0072021484375,1854.570068359375,1817.803955078125,1802.6475830078125,1776.8060302734375,1846.095458984375,1882.3607177734375,1974.63671875,2063.087158203125,2183.058837890625,2282.628173828125,2400.9033203125,2522.815185546875,2823.802734375,2823.90283203125,3001.040283203125,3139.64501953125,3263.693603515625,3515.03466796875,3762.02587890625,3963.80126953125,3850.638916015625,3895.59326171875,3899.759521484375,3705.948974609375,3619.178955078125,3588.543701171875
Bhutan,,,,,,,,,,,,,,,,,,,,,446.0640563964844,457.7419738769531,462.9732666015625,470.35333251953125,492.9814147949219,475.5301208496094,519.9684448242188,559.3601684570312,600.4669799804688,634.9519653320312,651.4258422851562,738.3858642578125,774.4044189453125,874.7108154296875,896.0296630859375,932.2017211914062,1003.94873046875,1148.171142578125,1149.03369140625,1255.40283203125,1345.9886474609375,1341.03173828125,1356.4949951171875,1440.8157958984375,1475.0350341796875,1633.9237060546875,1746.1903076171875,1879.1357421875,1951.9095458984375,2128.140380859375,2389.33154296875,2545.252685546875,2875.6796875,3042.95849609375,3219.319091796875,3430.145263671875,3697.40185546875,4260.2470703125,4169.48486328125,4427.18994140625,4747.56787109375,4877.34912109375,4960.23974609375,4917.24267578125,5263.611328125
