"Data Source","World Development Indicators",

"Last Updated Date","2017-11-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Bosnia and Herzegovina","BIH","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1471.94474265711","1826.73058873147","3509.57579989954","4751.6311188641","5495.73547333811","6009.49320195101","6327.24344252932","6597.62346663647","6938.97543242673","7209.96571754401","7645.64656572527","8314.73556578708","8766.72202610678","9282.37563132382","9818.24850027916","9579.84485920048","9716.82852511229","9893.37822998914","9910.30281536685","10269.1793413008","10493.7955037872","10902.1226590873","11179.3499096767","",
"Belarus","BLR","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8353.9060473717","8249.61088211611","7441.58830582411","6860.58188357332","6065.00192147293","5451.83344003325","5623.23994187081","6290.91422751401","6851.85959837894","7114.68485782701","7562.88389242279","7960.98594342532","8416.04244763492","9072.06605775123","10180.0028430349","11213.2492735916","12410.3300181429","13539.6022164648","14972.2688978137","15035.6997970757","16235.1713356603","17166.6956434719","17479.9291350485","17656.1189558211","17944.2095130117","17229.5546567169","16742.2554956416","",
"Belize","BLZ","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5164.84829399418","5600.28530601375","6171.28755205282","6449.14259043834","6329.35637506378","6207.32558635658","6098.21100986759","6088.44743232969","6078.19402534199","6370.06285239756","6959.30381603376","7088.5499349075","7246.14646507412","7718.15004372434","7873.49216827621","7871.59167827899","8020.80392405522","7901.21370804003","7949.62914265935","7808.3094157545","7875.25594808055","7855.69828660257","7974.26291343671","7903.47103611784","8050.28762107266","8061.33184663626","7831.45448605653","",
"Bermuda","BMU","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40553.2585214927","39322.1091825364","39584.3298590314","40557.2201557525","40518.4078179105","41999.2594636705","42816.9632444088","44514.1094159639","45911.6864997413","47199.8414462497","51140.236844667","54245.1496398132","53096.9254922092","54549.8011627024","55452.6388804958","56017.19161965","58784.5932914465","60117.4599095649","60675.9820859495","57151.9191321066","56395.0078003539","54984.5103947777","52137.3003731125","50669.3147696996","","","","",
"Bolivia","BOL","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3707.24505027189","3826.43247858039","3813.52651668108","3898.64643442917","4000.83228728931","4106.16907030112","4201.55800924018","4323.76161478575","4453.29486000423","4386.79236379529","4412.255625581","4403.71693251038","4431.30610689627","4470.30909186235","4575.17290508943","4694.9165699442","4836.43247556525","4972.49156342578","5191.13190436962","5278.03826758065","5407.47022023569","5598.50844451487","5792.93305144956","6090.69557009272","6324.82725807651","6531.51939817124","6707.95618414272","",
"Brazil","BRA","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10344.6366813993","10319.7021758669","10099.5533065974","10397.9314762653","10776.1959043364","11072.4815606742","11137.344105555","11334.5712545585","11197.4554572599","11081.4106943102","11370.7294551211","11369.0138803598","11560.0372749018","11542.5788204106","12058.3213738903","12299.3797443019","12644.9392239091","13271.0470442056","13806.0149203547","13653.0139581162","14539.0845345652","14973.0984736747","15118.138451117","15430.2682759225","15370.9963698253","14666.0181678984","14023.6916227341","",
"Barbados","BRB","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13298.424166056","12735.7137602594","11968.1376797293","12022.3842984177","12219.8216309548","12422.6427360162","12867.6199106695","13426.9245678896","13876.9089731496","13871.8090610567","14439.860775911","14054.3750081687","14124.1841253873","14389.5126267407","14547.429888054","15073.5617299624","15868.3710613115","16083.3666742383","16078.9946669209","15365.4649894068","15345.6076266132","15404.7852269344","15396.7603047841","15335.3337926665","15297.5841467398","15390.327050463","15588.2689865375","",
"Brunei Darussalam","BRN","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84672.3914994667","84879.7921309364","86423.2835638991","84290.3666377931","84607.1745727311","86116.0177289558","86411.9644582628","83138.2235244123","80813.3369073958","81476.1517217496","82049.5808598868","82596.776218302","84125.4405877487","84970.735531184","83942.2194070735","82967.1127639163","85424.5583581664","84503.538755155","81905.6581289731","79512.7550128728","80552.8644713138","82434.8830910215","81993.9320766154","79070.2459316149","76089.2865740815","74600.1642971982","71788.7833914688","",
"Bhutan","BTN","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2325.24188426706","2315.74053813835","2448.53037239605","2537.30384522117","2697.03838953366","2896.949918925","3032.22813949343","3137.937414193","3241.36525402581","3403.55184513624","3538.77361646938","3723.98155129683","4009.25195557952","4198.5874279696","4329.15984613234","4521.98567794256","4719.66536448846","5446.36248611985","5592.16284779378","5851.67801870576","6419.67559908811","6805.87845575689","7032.74666006521","7070.79246817221","7366.42412644897","7735.63239826514","8105.79696747824","",
"Botswana","BWA","GDP per capita, PPP (constant 2011 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8110.44046100343","8476.5698478666","8489.52511216893","8427.24815931528","8516.85969177318","8903.74629037912","9217.41422308957","9753.10960300939","9635.30770944028","10378.8151915452","10410.7026711379","10278.6258160288","10749.2510244831","11094.5013853667","11239.0325780051","11583.2195843672","12362.9291802661","13175.1796208381","13768.3384317578","12499.4073949522","13334.198790321","13889.2704652368","14244.4943071486","15568.2733647414","15914.6702156725","15356.4576093763","15513.4419327624","",
