"Data Source","World Development Indicators",

"Last Updated Date","2017-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Bosnia and Herzegovina","BIH","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3746229486.34497","4619831394.55847","8888887673.58535","12150190077.3717","14198050241.6812","15799197388.9696","17047440444.0388","17883797738.2357","19310597475.4628","20213903509.5926","22092900932.7021","24402822849.5756","27908134762.1276","30795442599.8842","33896722196.6907","33771733295.7347","34704177338.1071","36525460733.2043","37145718339.2732","39062465196.2501","40059669659.4657","41416743345.5977","43363692069.059","",
"Belarus","BLR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55014543407.2095","56163561163.8038","51929229505.565","49124239774.8449","44299817612.5648","40520496632.1502","42415506106.7242","48059574230.5103","52661959813.5235","55285764458.0535","59823343550.7406","64077915095.2434","68344122111.6079","74616536617.3852","85446604658.7525","96486388219.0376","109395778054.181","121965584131.666","137042603104.487","138359512404.504","150964389938.614","162623060502.26","168486170512.449","172960371298.501","179090582654.941","174445321555.679","171990815802.944","",
"Belize","BLZ","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","626088356.513989","714836074.299981","819128296.239966","891253862.240976","911658519.578756","936666055.126102","967392056.791816","1018831759.2803","1068416383.20921","1180013129.22355","1364224761.07324","1465298343.85006","1563946042.53145","1743902597.01416","1875184702.30321","1985433465.42776","2140210222.26534","2221431983.99902","2338133534.1686","2372690403.7659","2481511350.03126","2586033030.36327","2734400316.62323","2815073567.89052","2965816024.36278","3090196760.35336","3111022205.50121","",
"Bermuda","BMU","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1554988500.09769","1549957914.21421","1584342981.69336","1670838770.57534","1716628217.20874","1829523585.14358","1911367369.49348","2033508194.31502","2135744469.81497","2241778544.64523","2506413532.19836","2748681686.01862","2749634057.3413","2900115311.49629","3049030896.26684","3199827284.68298","3480978665.79403","3675320493.92403","3804672577.23871","3630994134.05189","3598375440.29922","3550019929.12843","3440624524.06218","3408396102.46194","","","","",
"Bolivia","BOL","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16428348865.1178","17869169615.4946","18577429059.8563","19831430419.8189","21198752964.1764","22653311223.7107","24072883762.9773","25697924708.5643","27283279111.0135","27819051784.0502","29165604150.0362","30332541008.4975","31563692397.132","33065954261.1355","35393060315.0351","38147113648.2302","41205235130.8427","44232621785.9186","47873330022.2333","49856209963.9535","52547684328.3957","56423688392.2173","60406456609.646","65553554781.0873","70370878913.9873","74737092452.5563","78917973989.1635","",
"Brazil","BRA","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","998580461904.443","1047418788940.29","1066293211085.6","1142591043838.45","1229156151324.56","1310213182315.97","1363583258025.24","1434007401512.97","1454474765595.23","1483659771918.62","1579825656914.56","1638286185076.12","1714225670184.82","1768357755782.59","1921638611571.74","2046983381568.72","2193463250323.83","2388522431028.49","2559442370944.87","2575633551297.78","2803358677828.85","2974955344832.28","3087961712327.26","3232120155064.12","3306566747042.61","3222820881613.9","3146607586296.27","",
"Barbados","BRB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2400185901.20592","2383353234.1613","2298734646.68545","2372255132.28734","2471194629.1608","2573777298.45224","2724709639.52366","2902708924.44093","3043963674.29136","3100617274.94576","3312386630.94113","3307670217.46143","3385016523.12155","3527478535.29162","3675462175.43968","3944145488.05429","4295766521.6498","4487897874.18754","4594054744.27042","4441886878.82581","4508048680.36235","4622083018.24387","4720458698.97206","4797128256.74131","4883896886.6807","4991379261.44019","5158334684.66015","",
"Brunei Darussalam","BRN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14162413937.8744","15094182874.3403","16172904605.5886","16608130559.1503","17495082540.9245","18659869330.6749","19547410416.9876","19589467240.8939","19691466873.1848","20603021669.3021","21672273336.5833","22774411458.8823","24019411800.0271","25209794211.9456","26033626780.5263","26975422917.601","29026929720.5407","29845498470.0439","29840677843.9092","29536750160.1467","30674522788.4179","32480415591.3426","33380677923.158","33198634079.3721","32998956310.6741","33233537618.7734","32827699652.5199","",
"Bhutan","BTN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","807467719.935313","830941297.341342","888985219.769416","928215150.100891","994907511.864074","1087506908.17278","1168986422.03893","1252888266.94654","1341385646.55363","1470647930.69414","1608393321.7217","1780002948.1246","2001215500.94871","2197559185.20423","2391126002.75453","2643853103.09401","2911729974.13034","3525063410.01063","3765596225.85911","4046781423.42001","4576726813.72953","5039821055.27253","5392970630.40252","5597477745.42739","6025050637.46244","6505078283.23645","7114503346.4711","",
"Botswana","BWA","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7223077604.70088","8020179344.17248","8442290765.15846","8808767046.60053","9322604958.43897","10186131615.455","10976756703.7463","12060758337.5045","12279671332.481","13672861753.8509","14261949629.0655","14623516448.7236","15749209931.9197","16806327456.0012","17735708196.2093","19140535956.5179","21378657605.3427","23764167894.3264","25743618768.2686","23954182468.4641","26323148832.6222","28491602197.6691","30309452915.6587","34292608602.1029","36354928592.8406","36196127753.566","38231115290.2997","",
