 country_ name,iso,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Bolivia (Plurinational State of),BOL,2.867572774,2.92732791,2.989165712,3.053081977,3.119086345,3.187173378,3.257345301,3.329645615,3.404159101,3.480967078,3.560142708,3.641741358,3.725855965,3.812648425,3.902251222,3.994775831,4.090317907,4.189003754,4.291020234,4.396560387,4.505774,4.600596,4.69809,4.79851,4.902173,5.009259,5.119833,5.233677,5.35032,5.469123,5.589572,5.711598,5.835186,5.959962,6.085499,6.211549,6.337893,6.464736,6.592787,6.723046,6.856246,6.992521,7.131699,7.273824,7.418864,7.566716,7.717445,7.87086,8.026257,8.18271,8.339512,8.496378,8.653343,8.81042,8.96774,9.125405,9.283345,9.441482,9.599916,9.758799,9.918245,10.078238,10.238762,10.399931,10.561887
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.526996,4.437898,4.301169,4.141167,3.992256,3.879278,3.810649,3.779354,3.775898,3.784389,3.792878,3.799747,3.808347,3.817313,3.825872,3.833377,3.838504,3.840418,3.839749,3.837732,3.835258,3.83231,3.828419,3.823533,3.817554
Botswana,BWA,,,,,,,,,,,0.589418966,0.598781905,0.608487716,0.618542517,0.628901041,0.63855352,0.647886787,0.656877075,0.66684523,0.678632535,0.693021,0.715811,0.739754,0.765177,0.792513,0.822029,0.85386,0.887793,0.923305,0.959666,0.996331,1.033073,1.069962,1.107103,1.144716,1.182942,1.221668,1.26072,1.300097,1.339813,1.379814,1.420098,1.460453,1.500356,1.539135,1.576291,1.611827,1.645846,1.678111,1.708368,1.736579,1.762531,1.786672,1.810438,1.83575,1.864003,1.895671,1.930431,1.967866,2.007212,2.047831,2.089706,2.132822,2.17651,2.219937
Brazil,BRA,53.609605,55.166902,56.778935,58.447918,60.176149,61.966034,63.830273,65.755431,67.743648,69.797146,71.918214,74.062968,76.276333,78.560636,80.918301,83.351833,85.824043,88.324188,90.851302,93.404391,95.982453,98.4022,100.84439,103.32079,105.84627,108.43128,111.07606,113.77647,116.53215,119.34144,122.19972,125.10738,128.05476,131.01434,133.95055,136.83643,139.66464,142.43748,145.15047,147.80182,150.39314,152.91685,155.37901,157.81222,160.26051,162.75505,165.30316,167.89383,170.51648,173.15307,175.78644,178.4194,181.04559,183.62734,186.11636,188.47924,190.69824,192.78452,194.7697,196.7013,198.61421,200.51758,202.40158,204.25938,206.0779
British Virgin Islands,VGB,,,,,,,,,,,,,,,,,,,,,0.009802,0.009969,0.010125,0.010263,0.01038,0.010476,0.010544,0.010596,0.010663,0.010788,0.011003,0.011316,0.011715,0.012192,0.012729,0.013308,0.013932,0.014595,0.015265,0.015896,0.016459,0.016937,0.017343,0.0177,0.018051,0.018425,0.018834,0.01927,0.019726,0.020186,0.020643,0.021087,0.02153,0.022,0.022538,0.023169,0.023908,0.024735,0.025604,0.02645,0.027223,0.027906,0.028511,0.029058,0.029585
Brunei Darussalam,BRN,,,,,,,,,,,,,,,,,,,,,0.129729,0.135716,0.141836,0.148067,0.154395,0.160799,0.167283,0.173826,0.180357,0.186786,0.193057,0.199136,0.205061,0.210933,0.216893,0.223049,0.229418,0.23598,0.24275,0.249738,0.256939,0.264365,0.271989,0.279717,0.287423,0.29501,0.302449,0.309746,0.316873,0.323812,0.330554,0.337074,0.343383,0.349557,0.3557,0.361889,0.36815,0.374459,0.380786,0.38708,0.393302,0.399443,0.405512,0.411499,0.417394
Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,8.494765,8.54681,8.596962,8.644419,8.688112,8.727332,8.761231,8.790072,8.815565,8.840131,8.865235,8.891245,8.916713,8.939007,8.954518,8.960387,8.956741,8.943721,8.91866,8.878348,8.821111,8.745408,8.653527,8.552429,8.451626,8.358116,8.274662,8.199923,8.131743,8.066219,8.00051,7.934389,7.869124,7.805041,7.74274,7.682614,7.624611,7.568378,7.513646,7.460057,7.407297,7.355231,7.303741,7.252539,7.201308
Burkina Faso,BFA,,,,,,,,,,5.105684838,5.160122864,5.186520398,5.217215206,5.252278083,5.291798533,5.335870108,5.384604057,5.438118204,5.496549083,5.560041824,5.624597,5.723379,5.825171,5.930487,6.040044,6.154548,6.274037,6.398937,6.53082,6.671659,6.82284,6.985158,7.158256,7.340907,7.531244,7.727912,7.93069,8.140076,8.356306,8.579825,8.811033,9.05009,9.297116,9.552473,9.816586,10.089876,10.372809,10.665781,10.969093,11.283016,11.607944,11.94374,12.290984,12.651596,13.028039,13.421929,13.834195,14.264002,14.709011,15.165856,15.632066,16.106851,16.590813,17.084554,17.589198
Burundi,BDI,,,,,,,,,,,2.763603959,2.840903288,2.907418428,2.953104963,3.031995241,3.112315922,3.193746382,3.269701666,3.338203737,3.396480486,3.457113,3.507593,3.547335,3.582952,3.623853,3.676991,3.744696,3.825484,3.917866,4.018927,4.126544,4.239673,4.359122,4.486613,4.624617,4.774258,4.936429,5.108581,5.284173,5.454475,5.613141,5.759429,5.895131,6.019901,6.134041,6.23903,6.333415,6.420397,6.51192,6.623707,6.767073,6.94672,7.159918,7.401215,7.661613,7.934213,8.21807,8.514578,8.821795,9.137786,9.461117,9.790151,10.124572,10.465959,10.81686
Cabo Verde,CPV,,,,,,,,,,,0.19774136,0.204150905,0.210916209,0.217992046,0.225373371,0.232865255,0.240413415,0.248007787,0.255560978,0.26289609,0.270197,0.273053,0.273788,0.273211,0.272509,0.272575,0.273625,0.275479,0.278152,0.281555,0.285599,0.290428,0.296071,0.302174,0.308251,0.313976,0.319161,0.323972,0.328861,0.334473,0.341256,0.349326,0.358473,0.368423,0.378763,0.389156,0.399508,0.409805,0.419884,0.429576,0.438737,0.447357,0.455396,0.462675,0.468985,0.474224,0.478265,0.481278,0.483824,0.486673,0.490379,0.495159,0.50087,0.507258,0.513906
