,Country,IndicatorName,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
10,Australia,Gross Domestic Product (GDP),252241196065.9709,262105998956.508,268917196680.18845,279933761252.9509,283679979863.84845,291026351674.8,301524503764.81445,304229108380.3522,316559663021.9737,326219136257.10364,337174042070.3707,348371991149.2217,340601790195.3306,356361888848.111,375068438124.5472,390452597933.0253,400504172988.2476,423609446194.5136,440040607656.9481,455569635618.804,453839598580.5339,455649851869.0214,474149874232.5845,493295816999.0173,512430385819.5237,532667628766.1524,553693265754.0966,578267573871.0597,607222048427.1307,630713437166.1595,642882362049.8804,667676366911.8418,688179999644.6401,716734590207.0903,739717743151.8314,761782599620.2036,790407828373.1437,819705915821.9369,834621947961.2361,851466163249.4167,871727351345.3641,903394811319.2344,925437518524.4868,948573920424.8672,969991060604.1708,993574039539.343
11,Austria,Gross Domestic Product (GDP),125300611308.10526,131707393574.83733,139883605442.29086,146720137650.19376,152506413625.92047,151953877989.87518,158908810691.05374,166981347767.79962,166629595749.23578,175555443034.57446,178595159934.31442,178337456928.50934,181924276832.75964,187333045696.05484,187429101157.4323,192112351819.4448,196533611597.60773,199200902907.55884,205766326072.1692,213764617036.1793,223054061029.2493,230730750741.4891,235561156070.9627,236802114525.4937,242490382558.1323,248959986351.92545,254930829294.13336,260552104149.4112,269827672863.1331,279514453267.3344,288929639675.4061,292831680918.8893,297680548780.9396,299931479825.97235,308046855108.61993,314641160523.305,325184255194.1409,336960836891.55145,342174510073.4061,329175043639.2609,335523754013.46075,344945260798.3974,347517711122.7595,347949409944.7345,350193143731.7877,353565708214.9853
12,Azerbaijan,Gross Domestic Product (GDP),,,,,,,,,,,,,,,,,,,,,12142991323.66725,12057990389.13802,9332884513.4392,7176955468.678256,5766342541.3474865,5084977372.086462,5148795768.727213,5447740355.392026,5990672189.960887,6433762755.464339,7147545911.529938,7855316719.428731,8596773493.00509,9474357922.44347,10351096181.526842,13245421880.834042,17810616717.40026,22345772506.363674,24712510989.32296,27027950394.509846,28276792067.208286,27820600474.564228,28405198418.58085,30071202076.298576,30870092662.721146,31075288973.810764
13,Bahamas,Gross Domestic Product (GDP),3123377174.3090444,3174179176.239373,3063167467.9296665,3294974774.313351,2742927152.387893,2336888181.149169,2458060155.953518,2683093823.730677,3063543652.2531013,3864332389.4599423,4115331671.895453,3735634501.62209,3985880837.198131,4129255038.220259,4714417907.310669,4942085638.946771,5030894929.62355,5181042961.6591425,5300709907.583982,5657306145.6157465,5566991888.542124,5334199278.13621,5130139733.844254,5145919301.461999,5307970294.085668,5540382963.273938,5774380893.050814,6124886403.210504,6597150660.898586,6816305317.859404,7099130969.921735,7285527780.56177,7482574298.296934,7387938630.0189295,7453165643.821798,7706221927.0,7900177218.027075,8014455246.332786,7828203863.599793,7501356033.0057125,7616782877.509186,7663468313.189503,7900014132.320525,7900828320.126064,7859392285.216305,7728639904.86846
14,Bahrain,Gross Domestic Product (GDP),3790991446.1991,3851918094.410663,4278404631.891604,4874131859.089617,5287079141.652943,4819974839.41915,6288924706.964774,7107594889.69558,7382109294.776335,7638214451.494366,7835301716.625049,7314428228.507504,6765399416.181414,7338793412.710615,7698315237.752322,6462188237.392226,6537991033.171812,6663065644.692925,7264073515.930794,7440044289.528499,7784405554.548456,8139054344.914117,8773632024.536459,9904141676.41213,9694558831.06055,9882061283.509752,10204564446.880623,10440282039.9241,10950605547.713108,11602523676.754152,12416809066.83718,12726116052.114841,13152252118.575735,13980378425.54564,14956341117.695162,15968726805.851059,17001431494.699404,18411529158.21777,19560748560.21205,20057690803.40709,20927543426.53374,21342635850.536583,22138351040.79166,23337550021.15025,24352798516.309032,25050348586.03386
15,Bangladesh,Gross Domestic Product (GDP),17645629741.770798,16678740455.02501,14348098512.926594,14825270384.063292,16247303841.260857,15583079275.996643,16465293680.021687,16905420207.953625,18101282202.60104,18970439631.71075,19125834444.797325,19775040686.9723,20018303897.791348,20997913247.763897,22137176338.264526,22803922636.884274,23793562881.763344,24788470747.415943,25505091327.90105,26147741063.36693,27880676223.756126,28828567772.005325,30047237443.871037,31421812214.29528,32705295503.380974,34316017384.176857,35902131613.61618,37836422524.059296,39814316465.86112,41752924508.118256,44235059446.10757,46567821623.23702,48624049921.84658,51179727200.31746,54388953478.86952,57628097480.89755,61448456939.40153,65785852691.023834,69742062823.4455,73260637569.65746,77342576149.52043,82342297998.41965,87712211074.97612,92986881890.60736,98622889817.87883,105085286153.3148
16,Barbados,Gross Domestic Product (GDP),2376046854.755846,2469014972.1831274,2500465302.805749,2533989052.998429,2416137244.798833,2370230634.7300024,2474520785.284996,2563603533.357659,2689220105.873241,2901668492.4414225,3029341906.7481284,2971784410.397869,2826166975.7064204,2840297810.5413647,2942548531.058324,2974916564.516396,3126637309.7513237,3207929879.0900235,3320207424.378712,3439734892.9697824,3326223641.286748,3196500920.014646,2972745854.741871,3008418805.7310433,3122738718.855225,3185193494.510896,3312601234.2913322,3468293492.308836,3596620350.0655346,3611006831.396057,3694059989.915872,3598014429.3992968,3623200530.242365,3695664541.6608453,3747403844.9244547,3897300000.0,4119446099.567032,4193596127.7668405,4210370512.475505,4041955693.9524508,4054081559.026377,4086514212.4052095,4098773754.528093,4094674980.7764697,4102864330.923996,4139068247.3957133
17,Belarus,Gross Domestic Product (GDP),,,,,,,,,,,,,,,,,,,,,23817710564.3594,23487673004.576115,21222501325.6044,19617901171.29421,17325840944.322895,15515669737.598082,15946456788.159737,17767763542.714226,19268149364.198368,19932632747.31969,21086252728.4934,22085810088.66781,23182712163.515625,24801838127.717808,27617472960.11466,30210091836.82945,33238201428.1602,36080930099.50864,39777344840.74471,39837363865.81762,42921087760.90181,45300539522.1505,46091237353.22841,46556282923.93376,47369474418.20706,45502633015.050224
18,Belgium,Gross Domestic Product (GDP),166909652197.01724,173173807075.98093,182275210583.82056,193434695947.80414,201558245765.99344,198883567250.9028,210125960033.832,211441633251.99908,217450619746.09048,222541264929.6413,232510003564.34714,231860641303.9357,233240181758.45355,233967524303.88245,239738058747.0241,243698034887.2637,248140070337.62625,253863816738.4312,265854335135.8884,275077265463.8209,283707546397.66394,288908116421.6798,293330302438.528,290508837151.3589,299883474522.69586,307034967298.3082,311927788215.48364,323500923468.4037,329891721773.5463,341646072615.99146,354060948920.8473,356934663594.9718,363289004325.8904,366102671230.7049,379409685822.4531,387356364721.6833,397036922959.7415,410526225422.6096,413594023065.39703,404142933088.6308,415035169528.83856,422491815739.2348,423070847800.43896,420025568071.1428,429775824612.86456,436223453842.5328
19,Belize,Gross Domestic Product (GDP),214778039.08062232,229248899.48818424,239911639.2506909,238388390.78673705,260552600.54628998,262276483.6991984,260552600.54628998,271388436.7719577,292813839.5395256,304142213.58824027,317440739.44397205,321613598.2007959,320703155.83154994,313798971.51147634,320020324.69815224,323282741.6005596,338153292.4041926,376155715.023096,410744745.9818735,464221208.6310644,517470112.0421785,530820264.4775389,562830289.3652363,598898456.6585853,613651892.0059389,639214399.6566178,649302867.2770092,672624640.1026107,697490901.1948082,758446704.7831353,856750772.2519783,899721818.7728156,945799358.8979355,1034009032.5449084,1082070711.3627877,1114222545.5,1166562483.0726511,1180682086.6916945,1211553193.5756972,1220194564.240949,1260752287.095358,1287277910.3431268,1336513042.952,1356903887.2435596,1409336155.3544464,1425904876.1554966
20,Benin,Gross Domestic Product (GDP),1152656813.5487466,1176667358.5309525,1292219283.244993,1347904915.8037953,1439502790.9367068,1340993645.2089622,1359976099.5952294,1418919633.5513794,1411395646.7422824,1524429246.450247,1667993287.335404,1761800529.98932,1951768524.166457,1866945920.5555327,2014996900.7031941,2166700727.463066,2213251460.878006,2180052988.7579284,2246205487.4570627,2230311914.94545,2430507709.0939393,2533216089.8535533,2608141296.071176,2760356910.760901,2816127174.0606203,3101451976.856033,3235815714.095651,3421377946.825759,3556899142.867737,3746889109.774771,3966371521.6696773,4177903612.013421,4371885425.565016,4522434610.283017,4722763879.998185,4803672097.347096,4993117209.144407,5292021697.012161,5551150136.605952,5679897904.302729,5799973799.876957,5971871020.441965,6249228275.030504,6679074816.784992,7115917690.580142,7488863512.048939
21,Bermuda,Gross Domestic Product (GDP),2213644925.493165,2289738970.334669,2331244812.889249,2365833014.227541,2386585935.979147,2476515261.3559675,2697879753.7155576,2766390554.0031877,2822414974.301157,3007739153.694389,3122088115.871516,3012175105.3040004,3014968111.0297875,3041090934.6455946,2979151913.1501074,3105658667.468213,3243337446.586729,3372308617.833309,3416832423.584925,3421104080.795881,3330577818.756112,3339285426.6280475,3248266281.392309,3326963340.0884123,3379537576.117339,3561904455.3861275,3699911823.301956,3870320436.9938703,4021643285.78533,4157970177.1183133,4282027648.022629,4591243570.539668,4523394820.9655075,4677674342.836141,4787966856.189979,4868135685.0,5092369350.587482,5261436313.173921,5321370836.948826,5004932108.970188,4880853984.465815,4664844952.007938,4481170965.092819,4373911124.412524,4354736440.508407,4369981194.542001
22,Bhutan,Gross Domestic Product (GDP),84447774.96344443,86708526.76723291,87717169.85657476,89004059.35840675,93595124.54075444,90499633.61290276,98603559.31348556,106394457.81419285,113976671.56223612,119437256.6843842,125419553.7590718,139781884.42788163,142959466.15432927,154551785.51398414,164194302.90559024,173625861.44731334,198279948.01817572,260451482.78736997,276259751.746819,297233519.0186422,331037190.6488933,333487744.28827816,345722904.40645283,352682692.24540937,373413856.2402268,398727474.04261786,424267547.89768827,449186205.1958113,476723411.58519006,514584495.067475,559544470.4291503,605448373.6472772,670399911.6625494,721848826.9607114,764421460.7322434,818869610.0167857,874974921.1625303,1031997132.5687412,1080884974.9171898,1152831830.6131427,1288079628.9082534,1389730857.331835,1460205428.3243012,1491487099.77152,1572904804.8578596,1654911564.4618218
23,Bolivia (Plurinational State of),Gross Domestic Product (GDP),3804243178.8627477,3996864809.95073,4315314422.774764,4562977287.434965,4697109099.346375,5040515578.46084,5273113571.231122,5535251418.80934,5648873224.187375,5656405660.132335,5578812494.122743,5630405143.191154,5384965707.859208,5144653774.619164,5113707260.477729,5064338041.4712715,4938192426.816818,5066652223.795622,5216574925.329304,5414305859.559437,5665279608.020413,5963476932.922163,6061792128.420634,6320419788.2207155,6615732222.460525,6924984870.9874325,7227158825.071598,7585207362.039699,7966694339.92983,8000702991.989933,8201345501.020086,8339439677.239375,8546721938.948597,8778452615.240818,9144803388.797674,9549120156.210043,10007202934.638927,10463965061.187979,11107342635.311926,11480243367.49176,11953990544.606405,12576079454.748087,13220260925.078894,14118711343.829838,14889673414.013369,15611496362.000616
24,Bosnia and Herzegovina,Gross Domestic Product (GDP),,,,,,,,,,,,,,,,,,,,,2869781094.1372905,2601513253.3552275,2434056217.087357,2380960994.4269195,2646008749.8963275,3196378583.965267,4928793424.642163,6734758973.315332,7853831716.021152,8601639824.899157,9067359856.04866,9311176386.434765,9780554874.119991,10161842599.789585,10803512454.350649,11224981149.237036,11828712286.288141,12506350248.650795,13191885304.72182,12813294232.697477,12911603549.297312,13028872143.06285,12907289375.817022,13216313765.9864,13359297933.07152,13769883455.473043
25,Botswana,Gross Domestic Product (GDP),413217530.4194071,519914872.10221726,656974523.6095268,796931015.8014827,867043374.7319617,940276028.85569,1040390759.8325917,1150639698.071174,1284836412.541199,1468393570.233702,1647810819.5981913,1841303756.8045325,1996645848.2353086,2234212884.287384,2538273214.0790205,2772528323.687175,2975957040.407354,3220721147.4626737,3614394565.705371,4817006033.625271,5160299954.481105,5543400684.15239,5709761300.385636,5819166456.267973,6030398223.961575,6454359959.4627905,6830636241.441238,7378900608.175732,7432175765.490594,8150662089.07288,8312672461.522519,8333504502.26599,8839305865.716541,9248208315.23069,9498445195.665323,9931249181.997377,10761891478.691195,11652991301.325544,12380384690.812151,11432999251.71053,12412079203.298944,13162801017.091578,13749357440.995802,15105044733.41832,15589152379.251938,15549365355.620937
